label,ticker,tf,trades,winrate%,PF,ret%,CAGR%,Sharpe,MaxDD%,BH%
v6.4_fixed%,SPY,240m,28,50.0,2.5,31.4,9.86,1.25,-8.0,69.3
ATR_optimized,SPY,240m,33,51.5,2.33,26.1,8.32,1.27,-7.2,69.3
v6.4_fixed%,SPY,1d,72,52.8,1.99,78.3,5.95,0.83,-10.9,309.4
ATR_optimized,SPY,1d,56,46.4,2.38,88.2,6.53,0.87,-13.8,309.4
v6.4_fixed%,QQQ,240m,41,31.7,0.94,-0.1,-0.05,0.04,-20.5,90.3
ATR_optimized,QQQ,240m,39,35.9,1.38,15.3,5.02,0.62,-15.1,90.3
v6.4_fixed%,QQQ,1d,90,51.1,2.22,137.3,9.03,1.07,-9.5,578.7
ATR_optimized,QQQ,1d,56,48.2,2.51,160.3,10.04,1.04,-16.4,578.7
v6.4_fixed%,IWM,240m,40,37.5,0.87,-5.6,-1.97,-0.16,-15.8,51.6
ATR_optimized,IWM,240m,31,38.7,1.04,7.6,2.54,0.31,-11.2,51.6
v6.4_fixed%,IWM,1d,100,36.0,0.95,-8.1,-0.84,-0.06,-24.4,179.2
ATR_optimized,IWM,1d,55,41.8,1.83,76.4,5.84,0.59,-18.8,179.2
