sl_atr_mult,tp1_atr_mult,tp2_atr_mult,tp3_atr_mult,trailing_activation_atr_mult,mean_Sh,std_Sh,min_Sh,mean_PF,mean_DD,worst_DD,mean_Ret,n_trades,n_folds
2.0,1.5,5.0,8.0,3.0,0.6945306514934971,1.1179552786933586,-1.4059780410958815,1.6084421070090753,-7.821162653268336,-14.008593761495044,4.298208086553658,129,24
1.5,1.5,5.0,8.0,3.0,0.6886058601131282,0.9880505847576588,-1.0385010375707429,1.4711842444697887,-7.256102433268379,-13.529406971670262,4.500449188160249,140,24
2.0,1.5,3.5,8.0,3.0,0.6867625110930534,1.1223615404183367,-1.472765649167324,1.5568758596405337,-7.646190530464119,-14.43247835741864,3.99116301649363,129,24
2.0,2.0,5.0,8.0,3.0,0.6806437597307496,1.1130238404690518,-1.3751352126330376,1.6401252480400763,-8.242940709372698,-16.20042291410872,4.403741998571102,129,24
2.0,2.0,3.5,8.0,3.0,0.6721169747858343,1.1184321119950154,-1.4332935971416543,1.5903914247655446,-8.061837205609711,-15.589130204453472,4.095291216020488,129,24
1.5,1.5,3.5,8.0,3.0,0.671896477915131,1.0217307976305026,-1.1145762697416444,1.4336700287739974,-7.0805153762540485,-13.549585475915368,4.149855244831207,140,24
1.5,2.0,5.0,8.0,3.0,0.6694691163626582,1.0105677312705572,-1.0391644931109627,1.5236194284639586,-7.731285222377607,-15.240095011874926,4.546134381873816,140,24
2.0,1.5,2.5,8.0,3.0,0.6543839480575758,1.13197495223785,-1.5177248735386837,1.6104942265998505,-7.583815885794611,-14.715068088034375,3.6008075663939363,129,24
1.5,2.0,3.5,8.0,3.0,0.6527431323699466,1.044037766172323,-1.1049816576990579,1.4878550091426632,-7.562653211157837,-15.259763118452746,4.1962873835662995,140,24
1.5,1.0,5.0,8.0,3.0,0.645748192305391,0.9800056007425464,-1.150334652972981,1.406857310477141,-7.068101570382541,-14.025721961459736,4.047597676833414,140,24
2.0,1.0,5.0,8.0,3.0,0.6423669422352377,1.116275633377276,-1.5066437016249046,1.5617172745312609,-7.61704911094618,-14.430801973679403,3.804175569404427,129,24
2.0,2.0,2.5,8.0,3.0,0.6382161883724436,1.1211631283223695,-1.4724671124502156,1.6619210297302414,-8.031279732119987,-15.867243994414293,3.7057542669600134,129,24
2.0,1.5,3.5,6.0,3.0,0.6338975038287383,1.080624724728822,-1.472765649167324,1.6651206072436713,-7.7740193511347995,-14.43247835741864,3.603136736152216,150,24
2.0,1.0,3.5,8.0,3.0,0.633065478114842,1.118473690592396,-1.5750669850220442,1.5080028022936869,-7.442972248786053,-14.853597782841788,3.498870718311275,129,24
2.0,1.5,5.0,6.0,3.0,0.6320698947909714,1.0736563311309109,-1.4059780410958815,1.7104819793879795,-7.967938295230646,-14.008593761495044,3.923501633827771,150,24
